ALLIANZ SEGUROS S/A;ALLIANZ;Grupo Allianz
AZUL COMPANHIA DE SEGUROS GERAIS;AZUL;Grupo Porto Seguro
BANCO BRADESCO S.A.;BRA;Grupo Bradesco
BANCO TRIANGULO S/A;TRI;Grupo Banco Triângulo
BANCO VOTORANTIM S.A;BV;BANCO VOTORANTIM
Faculdade Faro;FARO;FARO
HSBC BANK BRASIL S.A - BANCO MULTIPLO;HBSC;Grupo Bradesco
LOSANGO PROMOÇÕES DE VENDAS LTDA;LOS;Grupo Bradesco
OI S.A;OI;OI TELECOMUNICAÇÕES
PORTO SEGURO COMPANHIA DE SEGUROS GERAIS;PSEG;Grupo Porto Seguro
PORTO SEGURO VIDA E PREVIDÊNCIA S.A.;PSEG;Grupo Porto Seguro
CLIENTE TESTE;TESTE;Grupo Teste
